Date,DEM Pixel Size,Ortho Pixel Size,DEM Glacier Coverage,Glacier Area,Technique,Platform,Source,DEM Technician,Boundary Technician,Source Imagery Access
8/9/1957,na,0.84,na,19.22,Sfm,aerial,Scanned films,McNeil,McNeil,Not published
8/31/1967,2.89,0.36,0.65,18.65,Sfm,aerial,"Scanned flims, Nolan and others, 2017",McNeil,McNeil,https://doi.org/10.18739/A2VH5CJ8K
9/4/1974,3.95,0.5,0.77,18.38,Sfm,aerial,"Scanned flims, Nolan and others, 2017",McNeil,McNeil,https://doi.org/10.18739/A2VH5CJ8K
8/25/1979,2.88,0.36,1,18.13,Sfm,aerial,"Scanned flims, Nolan and others, 2017",McNeil,McNeil,https://doi.org/10.18739/A2VH5CJ8K
7/11/1993,1.38,0.35,0.96,17.96,Sfm,aerial,"Scanned flims, Nolan and others, 2017",McNeil,McNeil,https://doi.org/10.18739/A2VH5CJ8K
8/8/2005,2.76,0.34,0.97,16.88,Sfm,aerial,Scanned films,McNeil,McNeil,Not published
8/11/2007,1.8,0.45,0.99,16.88,Sfm,aerial,Digital images,McNeil,McNeil,Not published
10/7/2014,2,0.42,0.96,16.42,Sfm,aerial,Nikon D810 camera,Larsen,McNeil,Not published
8/30/2016,2,0.35,0.94,15.99,ASP,satellite,Worldview,Thoms,McNeil,Available for scientific use via https://www.digitalglobe.com/
9/19/2021,2,0.32,0.94,15.49,ASP,satellite,Worldview,McNeil,McNeil,Available for scientific use via https://www.digitalglobe.com/
